iter	Logloss
0	0.6851439856
1	0.6777364901
2	0.6696255282
3	0.6623765318
4	0.6549121571
5	0.6475233473
6	0.6397711327
7	0.6329494488
8	0.6264960926
9	0.6189926937
10	0.6121235605
11	0.6054951536
12	0.5991042705
13	0.5920239506
14	0.5866642789
15	0.581376028
16	0.5754912816
17	0.5700146367
18	0.5643598337
19	0.5595840268
20	0.554850509
21	0.5498767663
22	0.5452292642
23	0.5394960042
24	0.5350949676
25	0.5301272363
26	0.5244003001
27	0.5198160599
28	0.5154827199
29	0.5112619593
30	0.507096521
31	0.5032804951
32	0.4993771649
33	0.4955441164
34	0.4911719032
35	0.4873857096
36	0.4842512919
37	0.4798667138
38	0.47674624
39	0.4738100617
40	0.4710544818
41	0.4669684273
42	0.463618305
43	0.4605950202
44	0.4571226089
45	0.4542676114
46	0.4513536157
47	0.4481319895
48	0.4448962049
49	0.4423954966
50	0.4392048396
51	0.4364197822
52	0.4341648528
53	0.4316753752
54	0.4297705842
55	0.4276954984
56	0.4248355104
57	0.4227117187
58	0.4198515699
59	0.4172366556
60	0.4153835914
61	0.4135830968
62	0.4114149873
63	0.4091655708
64	0.4072523096
65	0.4050781896
66	0.4033630182
67	0.4010939985
68	0.3992175754
69	0.397077232
70	0.3954861575
71	0.3933523275
72	0.3911174704
73	0.3891257588
74	0.3875780326
75	0.3853759123
76	0.3835679407
77	0.3823521851
78	0.380427941
79	0.3784539992
80	0.3770633525
81	0.3756640221
82	0.3744507931
83	0.3731327216
84	0.3721606671
85	0.3708461502
86	0.3697594671
87	0.3682023308
88	0.3663217567
89	0.3652205109
90	0.3640171124
91	0.3624616849
92	0.3612427989
93	0.3600120132
94	0.3588864613
95	0.3577743356
96	0.3571023367
97	0.3556051259
98	0.3546900911
99	0.3535007016
100	0.3526979274
101	0.3517383426
102	0.3509085806
103	0.3499486575
104	0.348649566
105	0.3475199875
106	0.346909562
107	0.3460024243
108	0.345111442
109	0.3440729138
110	0.3433364134
111	0.3426277032
112	0.3420558979
113	0.3410896197
114	0.3403039723
115	0.339571104
116	0.3389202802
117	0.3379110932
118	0.3374006601
119	0.3362998036
120	0.3356861242
121	0.3350142729
122	0.3343811924
123	0.3337351379
124	0.3330777422
125	0.3323245239
126	0.3315149969
127	0.3309519762
128	0.3301913164
129	0.3295862684
130	0.3287221616
131	0.3282691788
132	0.3276319564
133	0.3270158947
134	0.3266090594
135	0.3261190671
136	0.325718887
137	0.3251843081
138	0.3247136057
139	0.3243379172
140	0.3236647681
141	0.3230863326
142	0.3223573689
143	0.3219748429
144	0.3215949113
145	0.3210973544
146	0.3205486537
147	0.3198980068
148	0.3195530885
149	0.318933465
150	0.3184556056
151	0.3178317022
152	0.3175081003
153	0.316935735
154	0.3163257266
155	0.3159860767
156	0.3153658363
157	0.3148938838
158	0.3143905267
159	0.3139180145
160	0.3134458151
161	0.3130699729
162	0.3125891634
163	0.3122117388
164	0.3118604936
165	0.3114322649
166	0.3111680125
167	0.3108148044
168	0.3106149568
169	0.3100000306
170	0.3096657864
171	0.3094006816
172	0.3091015136
173	0.3087997822
174	0.3085422279
175	0.3082111237
176	0.3077889636
177	0.3073954906
178	0.3069385469
179	0.3067178189
180	0.3063601434
181	0.3060008741
182	0.3055171429
183	0.3051893899
184	0.3047324517
185	0.3044853913
186	0.30416576
187	0.3037386789
188	0.3033661286
189	0.3030146554
190	0.302702615
191	0.3024058402
192	0.3022376591
193	0.3019210247
194	0.3015624508
195	0.3011620904
196	0.3008342853
197	0.3004260891
198	0.3000003024
199	0.2997107368
200	0.29935961
201	0.2991445136
202	0.2989149512
203	0.2985854002
204	0.2983242847
205	0.2981046805
206	0.2978541792
207	0.2976283356
208	0.297199814
209	0.296840059
210	0.2965742664
211	0.2964493566
212	0.2962531017
213	0.2960388956
214	0.2957479662
215	0.295487877
216	0.2953260401
217	0.2951297936
218	0.2947859026
219	0.2945631991
220	0.294372386
221	0.2940861048
222	0.2937327117
223	0.2935545185
224	0.2932862066
225	0.2930193227
226	0.2929451484
227	0.292791193
228	0.292502698
229	0.2923828086
230	0.2921637606
231	0.2918486087
232	0.2916216699
233	0.2913759526
234	0.2911515074
235	0.2909347658
236	0.2906519723
237	0.2905254916
238	0.2902578472
239	0.2901055003
240	0.2899123978
241	0.2897467165
242	0.2895583887
243	0.2893155327
244	0.2890487241
245	0.2888503531
246	0.2886467653
247	0.2884520204
248	0.2881792242
249	0.2879369515
250	0.2877959894
251	0.2876719671
252	0.287510878
253	0.2873279618
254	0.2871372503
255	0.2870231182
256	0.2868496426
257	0.2867224991
258	0.2865197738
259	0.2863507426
260	0.2861721689
261	0.2859533556
262	0.2857009681
263	0.2854962476
264	0.2852699584
265	0.2851342999
266	0.2849115515
267	0.284819461
268	0.2845613805
269	0.2843616747
270	0.2841830289
271	0.2840613275
272	0.2838471616
273	0.2836871784
274	0.2835214777
275	0.2833775708
276	0.2831862735
277	0.2830034052
278	0.2828753904
279	0.2827094051
280	0.2825674465
281	0.2823935817
282	0.2822873159
283	0.2820618634
284	0.2819263713
285	0.2817963907
286	0.2816860425
287	0.2815728053
288	0.2814943152
289	0.2813852345
290	0.2812799929
291	0.2811432507
292	0.2809834845
293	0.2808042381
294	0.2806699698
295	0.2804734049
296	0.2802910844
297	0.2801529285
298	0.2800530004
299	0.2798875958
300	0.27968905
301	0.2795011642
